,contract_product_name,contract_name,account_code,customer_regional_group,sku,application_code,application,processing_code,processing_name,stone_color_type,segment,length_cm,width_cm,height_cm,charge_unit,sales_price,price_m3,created_date,fy_year
2,Absolute Basalt Stair 1003515 (8),10/A-X21.2/25,X21.2,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,55.44,1056,2025-07-25,2025
21,Absolute Basalt Stair 1003515 (8),04/A-X269/25,X26,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,52.24,995.0476190476189,2025-07-03,2025
75,Absolute Basalt Stair 1003515 (8),01/A-X23.1/25 (PO 2504010),X23.1,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,52.5,1000,2025-04-29,2025
114,Absolute Basalt Stair 1003515 (8),05/A-X21.2/25,X21.2,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,50.4,959.9999999999999,2025-03-24,2025
119,Absolute Basalt Stair 1003515 (8),05/A-X399/25,X39,Nhóm đầu 3,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,51.45,980,2025-03-13,2025
129,Absolute Basalt Stair 1003515 (8),04/A-X399/25 (Đá đen),X39,Nhóm đầu 3,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,51.45,980,2025-03-03,2025
154,Absolute Basalt Stair 1003515 (8),03/A-X21.2/25,X21.2,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,50.4,959.9999999999999,2025-02-20,2025
177,Absolute Basalt Stair 1003515 (8),01/A-X399/25,X39,Nhóm đầu 3,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,51.45,980,2025-01-09,2025
185,Absolute Basalt Stair 1003515 (8),09A-X27/24 (bổ sung),X27,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,51.45,980,2024-12-17,2024
206,Absolute Basalt Stair 1003515 (8),08A-X27/24,X27,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,51.45,978.1368821292776,2024-11-22,2024
212,Absolute Basalt Stair 1003515 (8),13/A-X399/24,X39,Nhóm đầu 3,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,51.45,980.0000000000001,2024-11-14,2024
230,Absolute Basalt Stair 1003515 (8),05/A-X269/24,X26,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,52.24,995.0476190476189,2024-10-23,2024
244,Absolute Basalt Stair 1003515 (8),12/A-X399/24 (Đá đen),X39,Nhóm đầu 3,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,50.66,964.952380952381,2024-10-11,2024
257,Absolute Basalt Stair 1003515 (8),11/A-X21.2/24,X21.2,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,55.44,1056,2024-10-10,2024
297,Absolute Basalt Stair 1003515 (8),03/A-X33/22,X33,Nhóm đầu 3,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,52.18,993.9047619047618,2024-09-30,2024
386,Absolute Basalt Stair 1003515 (8),05/A-X22/20,X22,Nhóm đầu 2,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,43.05,819.5408734602464,2024-09-25,2024
387,Absolute Basalt Stair 1003515,05/A-X22/20,X22,Nhóm đầu 2,BD4.1DOX1-1000350150,4.1,Stair / Step (Block),DOX,Flamed Water,ABSOLUTE BASALT,Premium,100,35,15,USD/PC,43.05,820,2024-09-25,2024
