Name,Contract__r.Name,Contract__r.Account__r.Account_Code__c,Contract__r.Account__r.Nhom_Khu_vuc_KH__c,Contract__r.Account__r.BillingAddress,Product__r.STONE_Color_Type__c,Product__r.StockKeepingUnit,Product__r.Family,Product__r.Product_description_in_Vietnamese__c,Segment__c,Created_Date__c,Delivery_Date__c,Product_Discription__c,Length__c,Width__c,Height__c,Quantity__c,Crates__c,m2__c,m3__c,ml__c,Tons__c,Sales_Price__c,Charge_Unit__c,Total_Price_USD__c
Bluestone Tiles 40402.5 (80),07/A-X19-18,X19,Nhóm đầu 1,"{""city"":""Munsterbilzen"",""country"":""Belgium"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""3740"",""state"":null,""street"":""Taunusweg 12""}",BLUESTONE,MB7.1MGI1-0400400025,Interior_Tiles,"BLUESTONE, Đá lát-Mài giấy",Common,,,Bluestone Tiles Scraped,40,40,2.5,2480,31,396.8,9.92,992,26.78,16,USD/M2,6348.8
Bluestone Tiles 90602.5 (25),01/A-X45/26,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.2GCR0-0900600025,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Premium,,,Blue Limestone Paving  Honed + tumbled,90,60,2.5,125,5,67.5,1.69,112.5,4.56,35.2,USD/M2,2376
Bluestone Paving 10104 (936),01/A-X45/26,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.2GCR0-0100100040,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Common,,,Blue Limestone Paving  Honed + tumbled,10,10,4,10296,11,102.96,4.12,1029.6,11.12,21.8,USD/M2,2244.53
Bluestone Paving 20104 (500),01/A-X45/26,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.2GCR0-0200100040,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Common,,,Blue Limestone Paving  Honed + tumbled,20,10,4,12500,25,250,10,2500,27,21.8,USD/M2,5450
Bluestone Paving 2484 (450),01/A-X45/26,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB1.2GCR0-0240080040,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Common,,,Blue limestone paving  Honed + tumbled,24,8,4,26100,58,501.12,20.04,6264,54.11,21.8,USD/M2,10924.42
Bluestone Tiles 60302 (100),01/A-X45/26,X45,Nhóm đầu 4,"{""city"":""Knocknatubbrid"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""R93 DC93"",""state"":null,""street"":""Tullow, Co. Carlow""}",BLUESTONE,MB7.1GCR0-0600300020,Interior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Premium,,,Bluestone Tiles - Vietnostyle,60,30,2,1200,12,216,4.32,720,11.66,18.2,USD/M2,3931.2
Absolute Basalt Cubic 10106 (900),01/A-X65/26,X65,Nhóm đầu 6,"{""city"":null,""country"":""China"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""Room 301,3/F,No. 2, Bldg. 27, Yongsheng Village,  Jiangdong,Yiwu City, Jinhua, Zhejiang""}",ABSOLUTE BASALT,BD1.1CTA1-0100100060,Exterior_Tiles,"BAZAN ĐEN, Cubic-Mặt chẻ tay tự nhiên, 4 cạnh cưa, đáy cưa.",Common,,,"Absolute Black Basalt Cobbles  Top natural split, other sides sawn",10,10,6,15300,17,153,9.18,1530,27.08,33,USD/M2,5049
Black Basalt Cubic 10108-10 (TON) (OLD),01-X11.3-25 (Order: IRC25-0085),X11.3,Nhóm đầu 1,"{""city"":null,""country"":""Netherlands"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",BLACK BASALT,BX1.0CTA9-0100100090,Exterior_Tiles,"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",Economy,,,Black Basalt Cubic Hand split (Packing in wooden crate),10,10,10,10200,17,102,10.2,1020,23.65,136.27,USD/TON,3222.79
Black Basalt Cubic 10108-10 (TON) (OLD),02-X11.3-25 (Order: IRC25-0126),X11.3,Nhóm đầu 1,"{""city"":null,""country"":""Netherlands"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",BLACK BASALT,BX1.0CTA9-0100100090,Exterior_Tiles,"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",Economy,,,Black Basalt Cubic Hand split (Packing in wooden crate),10,10,10,10200,17,102,10.2,1020,23.65,136.27,USD/TON,3222.79
Absolute Basalt Block 505050,01/A-X10/25,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD5.1DOX0-0500500500,ART,"BAZAN ĐEN, Đá khối-6 mặt đốt xịt nước",Super premium,,,Absolute Black Basalt Block  All sides flamed waterjet brushed & chamfered,50,50,50,60,10,15,7.5,30,22.13,192.5,USD/PC,11550
Absolute Basalt Stair 1503515 (6),01/A-X10/25,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD4.1DOX0-1500350150,STAIR,"BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Premium,,,"Absolute Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm",150,35,15,60,10,31.5,4.73,90,13.92,77.18,USD/PC,4630.8
Absolute Basalt Slab 170334,01/A-X10/25,X21.2,Nhóm đầu 2,"{""city"":""Delbrück"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33129"",""state"":null,""street"":""Wiebeler Str. 62""}",ABSOLUTE BASALT,BD9.1DOX1-1700330040,SLAB,"BAZAN ĐEN, Đá tấm-Mặt đốt xịt nước, các cạnh còn lại cưa",Premium,,,"Absolute Basalt Slabs - Surface flamed & waterjet, edges sawn",170,33,4,30,5,16.83,0.67,51,1.98,29.17,USD/PC,875.1
Absolute Basalt Tiles 60603 (34),04/A-X23.1/25,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD7.1DOX1-0600600030,Interior_Tiles,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm.",Premium,,,"Absolute Basalt Tiles Top flamed and water jet finished, other sides sawn, beveled 3mm",60,60,3,374,11,134.64,4.04,224.4,11.92,32.8,USD/M2,4416.19
Absolute Basalt Palisade 100258 (20),04/A-X23.1/25,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD3.1DOX0-1000250080,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Premium,,,Extreme Basalt Palisades All sides flamed + water jet finished All edge beveled,100,25,8,96,4,24,1.92,96,5.66,20.4,USD/PC,1958.4
Absolute Basalt Tiles 60403 (34),04/A-X23.1/25,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD7.1DOX1-0600400030,Interior_Tiles,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm/45o",Premium,,,Absolute Basalt Tiles  Surface flamed - waterjet finished and top edges chamfered,60,40,3,544,16,130.56,3.92,326.4,11.56,26.5,USD/M2,3459.84
Absolute Basalt Tiles 90603 (20),04/A-X23.1/25,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD7.2DOX1-0900600030,Interior_Tiles,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm.",Premium,,,"Absolute Black Basalt Tiles  Surface flamed and water jet, sawn edges & chamfered",90,60,3,250,10,135,4.05,225,11.95,36,USD/M2,4860
Absolute Basalt Palisade 150258 (14),04/A-X23.1/25,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD3.1DOX0-1500250080,PALISADE,"BAZAN ĐEN, Đá cây-6 mặt đốt xịt nước, vạt mép 4mm.",Premium,,,"Absolute Basalt Palisade  All sides flamed, waterjet finished and all edges beveled",150,25,8,80,5,30,2.4,120,7.08,32.1,USD/PC,2568
Absolute Basalt Stair 1003515 (8),04/A-X23.1/25,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD4.1DOX0-1000350150,STAIR,"BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Premium,,,"Extreme Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm",100,35,15,40,4,14,2.1,40,6.2,53.55,USD/PC,2142
Absolute Basalt Stair 1503515 (6),04/A-X23.1/25,X23.1,Nhóm đầu 2,"{""city"":""Mechernich"",""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53894"",""state"":null,""street"":""Zülpicher Str. 16""}",ABSOLUTE BASALT,BD4.1DOX0-1500350150,STAIR,"BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",Premium,,,"Absolute Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm",150,35,15,24,4,12.6,1.89,36,5.58,84.26,USD/PC,2022.24
Bluestone Tiles 60303 (66),04/A-X44/25,X44,Nhóm đầu 4,"{""city"":""Mountcharles"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""F94 VK16"",""state"":null,""street"":""Co. Donegal""}",BLUESTONE,MB7.1DOC0-0600300030,Interior_Tiles,"BLUESTONE, Đá lát-Mặt đốt chải kỹ, đốt không sót bề mặt",Common,,,Bluestone Tiles Flamed finish,60,30,3,1848,28,332.64,9.98,1108.8,26.95,23.2,USD/M2,7717.25
Bluestone Tiles 60303 (66),04/A-X44/25,X44,Nhóm đầu 4,"{""city"":""Mountcharles"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""F94 VK16"",""state"":null,""street"":""Co. Donegal""}",BLUESTONE,MB7.1DOC0-0600300030,Interior_Tiles,"BLUESTONE, Đá lát-Mặt đốt chải kỹ, đốt không sót bề mặt",Common,,,Bluestone Tiles Flamed finish,60,30,3,1848,28,332.64,9.98,1108.8,26.95,23.2,USD/M2,7717.25
Bluestone Tiles 80403 (34),04/A-X44/25,X44,Nhóm đầu 4,"{""city"":""Mountcharles"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""F94 VK16"",""state"":null,""street"":""Co. Donegal""}",BLUESTONE,MB7.1GCR1-0800400030,Exterior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung.",Premium,,,Blue Limestone Paving  Honed + tumbled,80,40,3,1054,31,337.28,10.12,843.2,27.32,28.2,USD/M2,9511.3
Bluestone Tiles 60303 (66),03/A-X44/25,X44,Nhóm đầu 4,"{""city"":""Mountcharles"",""country"":""Ireland"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""F94 VK16"",""state"":null,""street"":""Co. Donegal""}",BLUESTONE,MB7.1DOC0-0600300030,Interior_Tiles,"BLUESTONE, Đá lát-Mặt đốt chải kỹ, đốt không sót bề mặt",Common,,,Bluestone Tiles Flamed finish,60,30,3,528,8,95.04,2.85,316.8,7.7,23.2,USD/M2,2204.93
