Name,Contract__r.Name,Product__r.StockKeepingUnit,Product__r.Family,Product__r.Product_description_in_Vietnamese__c,Product_Discription__c,Length__c,Width__c,Height__c,Quantity__c,Crates__c,m2__c,special_code,special_shape
Black Basalt U-Profile 1004010/3,01/A-X112/25,BX6.0DOC1-10040UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh trái cắt góc 45o","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm, left corner",100.0,40.0,,12,1.0,4.8,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1004010/3,01/A-X112/25,BX6.0DOC1-10040UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm, straight",100.0,40.0,,30,1.0,12.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1003010/3 (20),01/A-X112/25,BX6.0HON1-10030UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh phải cắt góc 45o.","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, right corner",100.0,30.0,,20,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1003010/3 (20),01/A-X112/25,BX6.0HON1-10030UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh trái cắt góc 45o","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, left corner",100.0,30.0,,20,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1004010/3,01/A-X112/25,BX6.0DOC1-10040UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh phải cắt góc 45o","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm, right corner",100.0,40.0,,12,1.0,4.8,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0DOX1-10020UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt đốt, vạt mép 2mm, cạnh trái cắt góc 45o.","Black Basalt U-PROFILE
3 sides flamed, all sides chamfered 2mm, left corner",100.0,20.0,,30,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0DOX1-10020UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt đốt, vạt mép 2mm, góc phải cắt góc 45o","Black Basalt U-PROFILE
3 sides flamed, all sides chamfered 2mm, right corner",100.0,20.0,,30,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0DOX1-10020UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt đốt, vạt mép 2mm, thẳng","Black Basalt U-PROFILE
3 sides flamed, all sides chamfered 2mm, straight",100.0,20.0,,90,3.0,18.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0HON1-10020UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt honed, vạt mép 2mm, cạnh phải cắt góc 45o","Black Basalt U-PROFILE
3 sides honed, all sides chamfered 2mm, right corner",100.0,20.0,,20,1.0,4.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0HON1-10020UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt honed, vạt mép 2mm, cạnh trái cắt góc.","Black Basalt U-PROFILE
3 sides honed, all sides chamfered 2mm, left corner",100.0,20.0,,20,1.0,4.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0HON1-10020UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt honed, vạt mép 2mm, thẳng","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, straight",100.0,20.0,,60,2.0,12.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1003010/3 (20),01/A-X112/25,BX6.0HON1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, straight",100.0,30.0,,60,2.0,18.0,U,Cắt chữ U (U-profile)
