contract_product_name,contract_name,account_code,customer_regional_group,billing_country,stone_color_type,sku,application_code,application,application_vn,processing_code,processing_name,family,segment,created_date,fy_year,product_description,product_description_vn,length_cm,width_cm,height_cm,quantity,crates,m2,m3,ml,tons,sales_price,charge_unit,total_price_usd,price_m3,volume_m3,area_m2,specific_gravity,hs_coefficient
Absolute Basalt Stair 1503515 (6),10/A-X21.2/25,X21.2,Nhóm đầu 2,Germany,BD,BD4.1DOX0-1500350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Premium,2025-07-25,2025.0,"Absolute Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm","BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",150.0,35.0,15.0,24.0,4.0,12.6,1.89,36.0,5.58,78.54,USD/PC,1884.96,997.3333333333334,0.07875,0.525,2.95,1.0
Absolute Basalt Stair 503515 (10),10/A-X21.2/25,X21.2,Nhóm đầu 2,Germany,BD,BD4.1DOX0-0500350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Premium,2025-07-25,2025.0,"Absolute Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm","BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",50.0,35.0,15.0,50.0,5.0,8.75,1.31,25.0,3.86,22.31,USD/PC,1115.5,851.5267175572519,0.02625,0.175,2.95,1.0
Absolute Basalt Stair 1003515 (8),10/A-X21.2/25,X21.2,Nhóm đầu 2,Germany,BD,BD4.1DOX0-1000350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Premium,2025-07-25,2025.0,"Extreme Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm","BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",100.0,35.0,15.0,64.0,8.0,22.4,3.36,64.0,9.91,55.44,USD/PC,3548.16,1056.0,0.0525,0.35,2.95,1.0
Absolute Basalt Paving 35156 (128),10/A-X21.2/25,X21.2,Nhóm đầu 2,Germany,BD,BD1.3DOX1-0350150060,1.3,Paving stone / Paving slab,Đá lát ngoài trời,DOX,Flamed Water,Exterior_Tiles,Common,2025-07-25,2025.0,"Absolute Black Basalt Paving Top side flamed, waterjet finished, sawn edges & chamfered","BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm",35.0,15.0,6.0,384.0,3.0,20.16,1.21,134.4,3.57,38.2,USD/M2,770.11,636.4545454545455,0.00315,0.0525,2.95,1.0
Absolute Basalt Tiles 60403 (34),10/A-X21.2/25,X21.2,Nhóm đầu 2,Germany,BD,BD7.1DOX1-0600400030,7.1,Other (7.1),Khác (7.1),DOX,Flamed Water,Interior_Tiles,Premium,2025-07-25,2025.0,Absolute Basalt Tiles  Surface flamed - waterjet finished and top edges chamfered,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm/45o",60.0,40.0,3.0,204.0,6.0,48.96,1.47,122.4,4.34,26.2,USD/M2,1282.75,872.6190476190476,0.0072,0.24,2.95,1.0
Bluestone Paving 20104 (500),08/A-X45/25,X45,Nhóm đầu 4,Ireland,MB,MB1.2GCR0-0200100040,1.2,Other (1.2),Khác (1.2),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2025-07-16,2025.0,Blue Limestone Paving  Honed + tumbled,"BLUESTONE, Đá lát-Giả cổ rung",20.0,10.0,4.0,6945.0,15.0,138.9,5.56,1389.0,15.0,21.8,USD/M2,3028.02,544.6079136690648,0.0008,0.02,2.7,1.0
Bluestone Cobbles 20102 (900),08/A-X45/25,X45,Nhóm đầu 4,Ireland,MB,MB1.2GCR0-0200100020,1.2,Other (1.2),Khác (1.2),GCR,Vibrated Honed Tumbled,Exterior_Tiles,Common,2025-07-15,2025.0,Blue Limestone Cobbles  Honed + tumbled,"BLUESTONE, Đá lát-Giả cổ rung",20.0,10.0,2.0,10800.0,12.0,216.0,4.32,2160.0,11.66,14.8,USD/M2,3196.8,740.0,0.0004,0.02,2.7,1.0
Absolute Basalt Tiles 80403 (34),03A-X27/25,X27,Nhóm đầu 2,Germany,BD,BD7.1DOX1-0800400030,7.1,Other (7.1),Khác (7.1),DOX,Flamed Water,Interior_Tiles,Premium,2025-07-11,2025.0,"Absolute Basalt Tiles Top flamed and water jet finished, other sides sawn, edges with chamfered 2/2mm.","BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm",80.0,40.0,3.0,374.0,11.0,119.68,3.59,299.2,10.59,28.0,USD/M2,3351.04,933.4373259052925,0.0096,0.32,2.95,1.0
Absolute Basalt Cubic 10108 (700),03A-X27/25,X27,Nhóm đầu 2,Germany,BD,BD1.1DOX3-0100100080,1.1,Cubes / Cobbles,Cubic (Đá vuông),DOX,Flamed Water,Exterior_Tiles,Common,2025-07-11,2025.0,"Absolute Black Basalt Cobble  Top sides flamed and waterjet, 4  sides split & bottom sawn","BAZAN ĐEN, Cubic-Mặt trên đốt xịt nước, 4 cạnh chẻ tay tự nhiên, đáy cưa.",10.0,10.0,8.0,1400.0,2.0,14.0,1.12,140.0,2.97,210.92,USD/TON,626.43,559.3124999999999,0.0008,0.01,2.95,0.9
Absolute Basalt Stair 1503515 (6),03A-X27/25,X27,Nhóm đầu 2,Germany,BD,BD4.1DOX0-1500350150,4.1,Stair / Step (Block),Đá bậc thang nguyên khối,DOX,Flamed Water,STAIR,Premium,2025-07-11,2025.0,"Absolute Basalt Stair All sides flamed & water jet finished, 2 long Edge beveled 5/5mm and all other edge beveled 3/3mm","BAZAN ĐEN, Bậc thang-6 mặt đốt xịt nước, vạt mép cạnh dài 6mm, vạt mép cạnh ngắn 4mm.",150.0,35.0,15.0,18.0,3.0,9.45,1.42,27.0,4.18,86.63,USD/PC,1559.34,1098.1267605633802,0.07875,0.525,2.95,1.0
Absolute Basalt Tiles 60403 (34),03A-X27/25,X27,Nhóm đầu 2,Germany,BD,BD7.1DOX1-0600400030,7.1,Other (7.1),Khác (7.1),DOX,Flamed Water,Interior_Tiles,Premium,2025-07-11,2025.0,Absolute Basalt Tiles  Surface flamed - waterjet finished and top edges chamfered,"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, cạnh cưa, vạt mép 3mm/45o",60.0,40.0,3.0,476.0,7.0,114.24,3.43,285.6,10.11,26.0,USD/M2,2970.24,865.9591836734693,0.0072,0.24,2.95,1.0
Bluestone Tiles 30302.5 (160),04/X369/25,X36,Nhóm đầu 3,France,MB,MB1.2QME0-0300300025,1.2,Other (1.2),Khác (1.2),QME,Tumbled,Exterior_Tiles,Common,2025-07-11,2025.0,Bluestone Tiles  Premium tumbled,"BLUESTONE, Đá lát-Quay mẻ.",30.0,30.0,2.5,2240.0,14.0,201.6,5.04,672.0,13.61,13.2,USD/M2,2661.12,528.0,0.00225,0.09,2.7,1.0
